team_id,team_name,team_status,display_code
1,Royal Challengers Bangalore,active_official,RCB
2,Sunrisers Hyderabad,active_official,SRH
3,Mumbai Indians,active_official,MI
4,Rising Pune Supergiant,legacy_or_renamed,
5,Gujarat Lions,legacy_or_renamed,
6,Kolkata Knight Riders,active_official,KKR
129,Chennai Super Kings,active_official,CSK
134,Rajasthan Royals,active_official,RR
252,Delhi Capitals,active_official,DC
494,Punjab Kings,active_official,PBKS
614,Lucknow Super Giants,active_official,LSG
615,Gujarat Titans,active_official,GT
1068,Deccan Chargers,legacy_or_renamed,
1414,Kochi Tuskers Kerala,legacy_or_renamed,
1419,Pune Warriors,legacy_or_renamed,
3604,Rising Pune Supergiants,legacy_or_renamed,
